sku,centro,model_first_flag,actual_first_markdown,delta_weeks
HK1123154BKLB080,7501,2025-11-24,2025-11-24,0.0
HK1123154BKLB080,7502,2025-12-29,2025-12-29,0.0
HK1123154BKLB080,AB75,2025-05-05,2025-05-05,0.0
HK1123154BKLB085,7501,2025-05-05,2025-05-05,0.0
HK1123154BKLB085,7502,2026-02-23,2026-03-02,1.0
HK1123154BKLB085,AB75,2025-12-01,2025-12-01,0.0
HK1123154BKLB090,7501,2026-01-19,2026-01-19,0.0
HK1123154BKLB090,7502,2026-02-16,2026-02-16,0.0
HK1123154BKLB090,AB75,2025-05-12,2025-05-12,0.0
HK1123154BKLB095,AB75,2025-12-08,2025-12-08,0.0
HK1123154EEGG060,7502,2025-12-15,2025-12-15,0.0
HK1123154EEGG065,7501,2025-12-22,2025-12-22,0.0
HK1123154EEGG065,AB75,2025-07-21,2025-07-21,0.0
HK1123154EEGG070,AB75,2025-06-16,2025-06-16,0.0
HK1123154EEGG075,7501,2025-07-14,2025-07-14,0.0
HK1123154EEGG075,AB75,2025-08-18,2025-08-18,0.0
HK1123154EEGG080,AB75,2025-06-30,2025-06-30,0.0
HK1123154EEGG085,7501,2025-09-08,2025-09-08,0.0
HK1123154EEGG085,AB75,2025-07-28,2025-07-28,0.0
HK1123154EEGG090,7501,2025-09-01,2025-09-01,0.0
HK1123154EEGG090,AB75,2025-08-25,2025-08-25,0.0
HK1123157BEPR080,AB75,2024-01-22,2024-01-22,0.0
HK1123157BEPR085,AB75,2023-11-13,2023-11-13,0.0
HK1123157BEPR090,AB75,2023-11-13,2023-11-13,0.0
HK1123157BEPR095,AB75,2023-11-13,2023-11-13,0.0
HK1123157BEPR100,AB75,2023-11-13,2023-11-13,0.0
HK1123157BEPR105,AB75,2023-11-13,2023-11-13,0.0
HK1123157BEPR110,AB75,2023-12-11,2023-12-11,0.0
HK1123157BEPR115,AB75,2024-02-19,2024-02-19,0.0
HK1123157BEPR120,7501,2024-10-14,2024-10-14,0.0
HK1123157BEPR120,AB75,2024-01-22,2024-01-22,0.0
HK1123157CFLM085,AB75,2024-05-13,2024-05-13,0.0
HK1123157CFLM090,AB75,2024-05-27,2024-05-27,0.0
HK1123157CFLM095,AB75,2024-08-12,2024-08-12,0.0
HK1123157CFLM100,AB75,2024-07-15,2024-07-15,0.0
HK1123157CFLM105,AB75,2024-05-13,2024-05-13,0.0
HK1123157CFLM115,AB75,2024-08-05,2024-08-05,0.0
HK1123157CGEP080,AB75,2024-01-22,2024-01-22,0.0
HK1123157CGEP085,AB75,2024-02-19,2024-02-19,0.0
HK1123157CGEP090,7501,2025-02-17,2025-02-17,0.0
HK1123157CGEP090,AB75,2024-01-22,2024-01-22,0.0
HK1123157CGEP100,AB75,2023-11-27,2023-11-27,0.0
HK1123157CGEP105,AB75,2023-11-13,2023-11-13,0.0
HK1123157CGEP110,AB75,2024-01-08,2024-01-08,0.0
HK1123157CGEP115,7501,2025-02-03,2025-02-03,0.0
HK1123157CGEP115,AB75,2023-12-11,2023-12-11,0.0
HK1123157CGEP120,7501,2025-02-10,2025-02-10,0.0
HK1123157CGEP120,AB75,2023-11-20,2023-11-20,0.0
HK1123157TFST080,AB75,2023-10-30,2023-08-21,-10.0
HK1123157TFST085,AB75,2023-09-04,2023-09-04,0.0
HK1123157TFST090,AB75,2023-08-21,2023-08-21,0.0
HK1123157TFST095,AB75,2023-08-28,2023-08-28,0.0
HK1123157TFST100,AB75,2023-09-04,2023-09-04,0.0
HK1123157TFST105,AB75,2023-09-04,2023-09-04,0.0
HK1123157TFST110,AB75,2023-09-04,2023-09-04,0.0
HK1123157TFST115,AB75,2023-08-21,2023-08-21,0.0
HK1123157TFST120,AB75,2023-08-28,2023-08-28,0.0
HK1123158BCCML055,7501,2025-03-24,2025-03-24,0.0
HK1123158BCCML060,7501,2025-01-27,2025-01-27,0.0
HK1123158BCCML065,7501,2025-03-03,2025-03-03,0.0
HK1123158BCCML065,AB75,2023-11-27,2023-11-27,0.0
HK1123158BCCML070,7501,2025-01-27,2025-01-27,0.0
HK1123158BCCML070,AB75,2023-09-04,2023-12-25,16.0
HK1123158BCCML075,AB75,2023-08-28,2023-08-28,0.0
HK1123158BCCML080,AB75,2023-09-04,2023-09-04,0.0
HK1123158BCCML085,AB75,2023-09-25,2023-09-25,0.0
HK1123158BCCML090,AB75,2023-10-30,2023-10-30,0.0
HK1123158BEPR055,7501,2025-02-24,2025-02-24,0.0
HK1123158BEPR060,AB75,2024-03-04,2024-03-04,0.0
HK1123158BEPR065,7501,2025-02-17,2025-02-17,0.0
HK1123158BEPR065,AB75,2024-01-08,2024-01-08,0.0
HK1123158BEPR070,7501,2025-02-03,2025-02-03,0.0
HK1123158BEPR075,7501,2025-01-20,2025-01-20,0.0
HK1123158BEPR080,AB75,2023-12-18,2023-12-18,0.0
HK1123158BEPR085,AB75,2024-03-11,2024-03-11,0.0
HK1123158BEPR090,AB75,2023-11-27,2023-11-27,0.0
HK1123158SONS055,7501,2024-11-18,2024-11-18,0.0
HK1123158SONS060,7501,2025-01-27,2025-01-27,0.0
HK1123158SONS060,AB75,2024-01-08,2024-01-08,0.0
HK1123158SONS065,7501,2024-11-18,2024-11-18,0.0
HK1123158SONS065,AB75,2023-11-20,2023-11-20,0.0
HK1123158SONS070,7501,2025-02-03,2025-02-03,0.0
HK1123158SONS070,AB75,2024-01-08,2024-01-08,0.0
HK1123158SONS075,AB75,2023-11-13,2023-11-13,0.0
HK1123158SONS080,AB75,2023-12-04,2023-12-04,0.0
HK1123158SONS085,AB75,2023-12-04,2023-12-04,0.0
HK1123158SONS090,AB75,2023-12-18,2023-12-18,0.0
HK1123161PORY090,AB75,2023-09-04,2023-09-04,0.0
HK1123161PORY095,AB75,2023-09-04,2023-08-21,-2.0
HK1123161PORY105,AB75,2023-10-16,2023-10-16,0.0
HK1123161PORY110,AB75,2023-08-28,2023-08-28,0.0
HK1123192BWHT100,AB75,2024-09-09,2024-09-09,0.0
