sku,centro,week,discount_rate,model_depth,depth_delta,model_prob,units_sold,gross_revenue
HK1122931DBIWE00L,7501,2024-12-23,0.029997777283840853,0.04615277,0.01615499323541574,0.99987054,5.0,218202.0
HK1122931DBIWE00L,7501,2025-02-10,0.07499444320960214,0.07204955,-0.002944892497493523,0.99991477,4.0,166464.0
HK1122931DBIWE00L,7501,2025-03-03,0.05,0.060946386,0.010946386307477948,0.99988127,4.0,170962.0
HK1122931DBIWE00L,7501,2025-05-05,0.14998888641920427,0.15867007,0.00868118136796614,0.9998939,1.0,38242.0
HK1122931DBIWE00M,7501,2025-01-06,0.024894420982440543,0.03612919,0.011234770535389352,0.9998258,2.0,87740.0
HK1122931DBIWE00M,7501,2025-01-27,0.0666073942357561,0.06302511,-0.003582284765865501,0.99990404,3.0,125980.0
HK1122931DBIWE00M,7501,2025-02-10,0.03996443654145366,0.06418835,0.02422391717587346,0.9999186,5.0,215960.0
HK1122931DBIWE00M,7501,2025-02-17,0.07500555679039786,0.08377201,0.00876645431084802,0.99980086,2.0,83231.0
HK1122931DBIWE00M,7501,2025-03-03,0.1998221827072683,0.2013035,0.0014813142495569698,0.9998801,1.0,36000.0
HK1122931DBIWE00M,7501,2025-04-14,0.24983329628806403,0.27834177,0.028508473884055113,0.99992096,1.0,33750.0
HK1122931DBIWE00M,7501,2025-06-09,0.3998666370304512,0.3763772,-0.023489441910593434,0.9999411,1.0,27000.0
HK1122931DLS00L,7501,2025-05-19,0.1998221827072683,0.20669265,0.006870468206923913,0.9999161,1.0,36000.0
HK1122931DLS00L,7501,2025-07-14,0.2,0.20205177,0.002051773667335499,0.9998703,1.0,35992.0
HK1122931DLS00L,7501,2026-01-12,0.12491664814403201,0.14433649,0.019419843679164397,0.9999393,2.0,78740.0
HK1122931DLS00L,7502,2025-12-15,0.1998221827072683,0.20080844,0.000986252971213769,0.9999213,1.0,36000.0
HK1122931DLS00L,7502,2026-01-26,0.09991109135363414,0.132823,0.03291191396500752,0.9999205,2.0,80990.0
HK1122931DLS00M,7501,2025-05-12,0.1,0.11544354,0.015443542599678034,0.9999064,3.0,121473.0
HK1122931DLS00M,7501,2025-05-19,0.07992887308290732,0.10711984,0.027190970280854584,0.99994576,5.0,206970.0
HK1122931DLS00M,7501,2025-06-09,0.2,0.1986342,-0.001365792751312267,0.9998996,1.0,35992.0
HK1122931DLS00M,7501,2025-06-30,0.09991109135363414,0.12350749,0.02359640089060948,0.9998785,2.0,80990.0
HK1122931DLS00M,AB75,2025-09-22,0.2,0.19881156,-0.0011884391307830922,0.9999188,1.0,35992.0
HK1122931WBGR00L,7501,2026-02-09,0.1998221827072683,0.20072238,0.0009001987653192989,0.9998803,1.0,36000.0
HK1122931WBGR00S,7501,2026-02-23,0.2,0.20199716,0.0019971609115600475,0.99987674,1.0,35992.0
HK1123097RYCM085,AB75,2023-11-20,0.14999705865050886,0.15165856,0.0016615061554756394,0.9998392,1.0,144492.0
HK1123097RYCM095,AB75,2023-10-30,0.14999705865050886,0.15176655,0.0017694948706474534,0.99979454,1.0,144492.0
HK1123097RYCM105,AB75,2023-10-23,0.14999705865050886,0.1519079,0.0019108472857322922,0.9998223,1.0,144492.0
HK1123153BBLC080,7501,2025-01-20,0.14999666644442963,0.1466437,-0.0033529682289450136,0.9999261,1.0,127492.0
HK1123153BBLC080,7501,2025-12-01,0.19994666311087406,0.19705047,-0.002896195977352023,0.999925,1.0,120000.0
HK1123153BBLC080,7501,2025-12-15,0.19994666311087406,0.21219103,0.01224436727223599,0.99991906,2.0,240000.0
HK1123153BBLC080,7501,2026-01-19,0.2999533302220148,0.31017295,0.010219615038986773,0.9999504,2.0,210000.0
HK1123153BBLC080,7501,2026-02-02,0.2999533302220148,0.3054207,0.005467366513367267,0.9999459,2.0,210000.0
HK1123153BBLC080,7501,2026-03-09,0.2999533302220148,0.29905477,-0.0008985585602563906,0.99995077,1.0,105000.0
HK1123153BBLC080,7502,2025-12-15,0.19994666311087406,0.19889301,-0.0010536524945715664,0.9998791,1.0,120000.0
HK1123153BBLC080,7502,2026-01-26,0.2999533302220148,0.29638258,-0.003570753994826703,0.99994516,1.0,105000.0
HK1123153BBLC080,7502,2026-02-23,0.2999533302220148,0.30001673,6.340080177363872e-05,0.9999347,1.0,105000.0
HK1123153BBLC080,AB75,2023-10-09,0.1499959996799744,0.14946285,-0.0005331507782257439,0.99979156,2.0,212484.0
HK1123153BBLC080,AB75,2024-10-21,0.1499959996799744,0.15035887,0.00036287094552150956,0.99990344,1.0,106242.0
HK1123153BBLC080,AB75,2025-11-24,0.03658508821855436,0.07807547,0.041490380321637294,0.99989116,5.0,592452.0
